plant_id,common_name,botanical_name,family,type,lifespan,season,soil_moisture,sun
77,Intermediate Cottongrass,Eriophorum ×medium Andersson ssp. ×medium ,Cyperaceae,woody,na,summer,moderate,full shade
78,Durango Senna,Senna durangensis (Rose) Irwin & Barneby var. durangensis,Fabaceae,woody,na,fall,moderate,partial shade
79,Bull Mallow,Malva nicaeensis All.,Malvaceae,woody,na,summer,wet,partial shade
80,Bull Clover,Trifolium fucatum Lindl.,Fabaceae,herbaceous,annual,summer,dry,full shade
81,Lindley's Clerodendrum,Clerodendrum lindleyi Decne. var. paniculatum Moldenke,Verbenaceae,herbaceous,perennial,spring,wet,full shade
82,Mojave Cottonthorn,Tetradymia stenolepis Greene,Asteraceae,woody,na,fall,dry,full sun
83,Koellensteinia,Koellensteinia Rchb. f.,Orchidaceae,woody,na,fall,moderate,partial shade
84,Beavertail Pricklypear,Opuntia basilaris Engelm. & J.M. Bigelow var. basilaris,Cactaceae,woody,na,summer,wet,full shade
85,Cockleshell Lichen,Hypocenomyce sorophora (Vain.) P. James & Poelt,Lecideaceae,woody,na,summer,dry,partial shade
86,Little Sur Manzanita,Arctostaphylos edmundsii J.T. Howell,Ericaceae,herbaceous,perennial,spring,moderate,partial shade
87,Threeleaf False Lily Of The Valley,Maianthemum trifolium (L.) Sloboda,Liliaceae,woody,na,fall,moderate,full shade
88,Palestine Clover,Trifolium philistaeum Zohary,Fabaceae,woody,na,spring,moderate,full sun
89,Paperflower,Bougainvillea glabra Choisy,Nyctaginaceae,woody,na,spring,wet,full shade
90,Columbian Windflower,Anemone deltoidea Hook.,Ranunculaceae,herbaceous,annual,spring,wet,partial shade
91,Chinese Tallow,Triadica Loureiro,Euphorbiaceae,herbaceous,annual,fall,moderate,partial shade
92,Crum's Monolopia,Monolopia stricta Crum,Asteraceae,woody,na,spring,moderate,full shade
93,Puerto Rico Hempvine,Mikania porosa Urb.,Asteraceae,herbaceous,annual,summer,dry,full sun
94,Purpleflower Pinkroot,Spigelia alabamensis (K. Gould) K.G. Mathews & Weakley,Loganiaceae,herbaceous,biannual,fall,moderate,full sun
95,Prostrate Clarkia,Clarkia prostrata F.H. Lewis & M.E. Lewis,Onagraceae,herbaceous,biannual,fall,dry,partial shade
96,Fendler Threeawn,Aristida purpurea Nutt. var. longiseta (Steud.) Vasey,Poaceae,woody,na,fall,wet,full sun
97,Largeleaf Blackberry,Rubus macrophyllus Weihe & Nees,Rosaceae,woody,na,summer,dry,full sun
98,Dixie Spiderlily,Hymenocallis duvalensis Traub,Liliaceae,woody,na,spring,moderate,full sun
99,Pinebush,Ericameria pinifolia (A. Gray) H.M. Hall,Asteraceae,herbaceous,biannual,fall,moderate,partial shade
100,Yukon Hawkweed,Hieracium gracile Hook. var. yukonense A.E. Porsild,Asteraceae,woody,na,fall,dry,partial shade
101,Davidson's Penstemon,Penstemon davidsonii Greene,Scrophulariaceae,herbaceous,annual,spring,dry,full shade
102,Las Cuevas Mountainbay,Calyptranthes estremenae Alain,Myrtaceae,woody,na,fall,wet,partial shade
103,Heartleaf Bittercress,Cardamine cordifolia A. Gray var. lyallii (S. Watson) A. Nelson & J.F. Macbr.,Brassicaceae,woody,na,summer,dry,full shade
104,Angel's-tears,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & C. Presl,Solanaceae,woody,na,summer,wet,full sun
105,Trumpet Honeysuckle,Lonicera sempervirens L.,Caprifoliaceae,herbaceous,annual,spring,dry,full shade
106,Green Fly Orchid,Epidendrum magnoliae Muhl. var. mexicanum (L.O. Williams) P.M. Brown,Orchidaceae,herbaceous,biannual,summer,wet,full shade
107,Thickspike Wheatgrass,Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus,Poaceae,woody,na,spring,dry,full sun
108,Lecidea Lichen,Lecidea polycocca Sommerf.,Lecideaceae,herbaceous,biannual,summer,dry,full shade
109,Calliergonella Moss,Calliergonella Loeske,Amblystegiaceae,woody,na,summer,wet,full sun
110,Wand Riverhemp,Sesbania virgata (Cav.) Poir.,Fabaceae,herbaceous,biannual,fall,moderate,full sun
111,Morisonia,Morisonia L.,Capparaceae,herbaceous,perennial,spring,wet,full shade
112,Slender Centaury,Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch,Gentianaceae,herbaceous,annual,fall,moderate,partial shade
113,Vermejo Phlox,Phlox vermejoensis B.S. Legler,Polemoniaceae,woody,na,spring,dry,partial shade
114,Curly Dock,Rumex crispus L.,Polygonaceae,woody,na,fall,dry,full shade
115,Whitefingers Lichen,Siphula ceratites (Wahlenb.) Fr.,Uncertain Ascomycota Family,woody,na,summer,dry,full sun
116,Edwards Plateau Spiderwort,Tradescantia pedicellata Celarier,Commelinaceae,herbaceous,perennial,spring,wet,partial shade
117,New Zealand Flax,Phormium tenax J.R. Forst. & G. Forst.,Agavaceae,woody,na,spring,dry,full sun
118,Arctic Bluegrass,Poa arctica R. Br. ssp. arctica,Poaceae,herbaceous,annual,spring,wet,full sun
119,Longleaf Camphorweed,Pluchea longifolia Nash,Asteraceae,woody,na,summer,moderate,partial shade
120,Ramonia,Ramonia microspora Vezda,Gyalectaceae,herbaceous,annual,spring,moderate,full shade
121,Wart Lichen,Pyrenula cruentata (Müll. Arg.) R.C. Harris,Pyrenulaceae,herbaceous,perennial,spring,dry,full shade
122,Spotted Joe Pye Weed,Eutrochium maculatum (L.) E.E. Lamont var. bruneri (A. Gray) E.E. Lamont,Asteraceae,woody,na,summer,moderate,partial shade
123,Howell's Reedgrass,Calamagrostis howellii Vasey,Poaceae,woody,na,fall,wet,partial shade
124,Tapered Rosette Grass,Dichanthelium acuminatum (Sw.) Gould & C.A. Clark,Poaceae,woody,na,summer,moderate,partial shade
125,Schied's Flax,Linum schiedeanum Schltdl. & Cham.,Linaceae,woody,na,spring,wet,full sun
126,Fox Sedge,Carex vulpinoidea Michx. var. vulpinoidea,Cyperaceae,woody,na,spring,wet,full sun
127,Spiked Crested Coralroot,Hexalectris arizonica (S.Watson) A.H. Kenn. & L.E. Watson,Orchidaceae,woody,na,summer,dry,partial shade
128,Chinle Saltbush,"Atriplex asterocarpa Stutz, G.L. Chu & S.C. Sand.",Chenopodiaceae,herbaceous,biannual,fall,wet,full shade
129,Arctic Snow Lichen,Stereocaulon arcticum Lynge,Stereocaulaceae,herbaceous,perennial,summer,dry,full sun
130,Spreading Pygmyleaf,Loeflingia squarrosa Nutt. ssp. cactorum Barneby & Twisselmann,Caryophyllaceae,woody,na,spring,dry,full shade
131,Egg Milkvetch,Astragalus oophorus S. Watson var. oophorus,Fabaceae,woody,na,summer,dry,full shade
132,Soft Agrimony,Agrimonia pubescens Wallr.,Rosaceae,herbaceous,annual,summer,wet,full shade
133,Leafy Broom,Genista stenopetala Webb & Bethel.,Fabaceae,woody,na,fall,wet,full shade
134,Shoestring Fern,Vittaria lineata (L.) Sm.,Vittariaceae,herbaceous,annual,summer,dry,full sun
135,Rose Moss,Portulaca grandiflora Hook.,Portulacaceae,woody,na,fall,moderate,full shade
136,Purpus' Phacelia,Phacelia purpusii Brandegee,Hydrophyllaceae,woody,na,spring,wet,full sun
137,Star Of Bethlehem,Ornithogalum L.,Liliaceae,woody,na,summer,dry,full sun
138,Laramie Columbine,Aquilegia laramiensis A. Nelson,Ranunculaceae,herbaceous,perennial,spring,wet,full sun
139,Map Lichen,Rhizocarpon plicatile (Leight.) A.L. Sm.,Rhizocarpaceae,woody,na,fall,wet,full sun
140,Pennsylvania Pellitory,Parietaria pensylvanica Muhl. ex Willd.,Urticaceae,herbaceous,perennial,spring,moderate,full shade
141,Intermediate Paspalum,Paspalum intermedium Munro ex Morong,Poaceae,woody,na,fall,wet,partial shade
142,Meadow Pennycress,Noccaea parviflora (A. Nelson) Holub,Brassicaceae,herbaceous,biannual,fall,dry,full sun
143,Pencilflower,Stylosanthes Sw.,Fabaceae,herbaceous,annual,summer,moderate,full shade
144,Rimrock Milkvetch,Astragalus desperatus M.E. Jones var. conspectus Barneby,Fabaceae,woody,na,spring,moderate,partial shade
145,Obtuseleaf Schistidium Moss,Schistidium obtusifolium Irel. & H.A. Crum,Grimmiaceae,woody,na,fall,wet,full sun
146,Bastard Stopper,Petitia domingensis Jacq.,Verbenaceae,herbaceous,perennial,fall,dry,full sun
147,Alaskan Bluegrass,Poa hartzii Gandog. ssp. alaskana Soreng,Poaceae,woody,na,fall,moderate,full shade
148,Berlandier's Wolfberry,Lycium berlandieri Dunal var. berlandieri,Solanaceae,woody,na,spring,moderate,full shade
149,African Mahogany,Afzelia africana Sm. ex Pers.,Fabaceae,woody,na,fall,moderate,partial shade
150,Hemlock Rosette Grass,Dichanthelium sabulorum (Lam.) Gould & C.A. Clark var. patulum (Scribn. & Merr.) Gould & C.A. Clark,Poaceae,woody,na,fall,moderate,full shade
151,Dot Lichen,Arthonia albofuscescens Tuck.,Arthoniaceae,woody,na,spring,moderate,full shade
152,Brownhair Snoutbean,Rhynchosia cinerea Nash,Fabaceae,herbaceous,perennial,summer,wet,full shade
153,Marsh Mermaidweed,Proserpinaca palustris L. var. amblyogona Fernald,Haloragaceae,woody,na,spring,moderate,partial shade
154,Horsehair Lichen,Bryoria nitidula (Th. Fr.) Brodo & D. Hawksw.,Parmeliaceae,herbaceous,perennial,spring,dry,full sun
155,Guadeloupe Bog Orchid,Habenaria amalfitana Lehm. & Kränzlin,Orchidaceae,woody,na,fall,wet,full shade
156,Awlfruit Sedge,Carex stipata Muhl. ex Willd.,Cyperaceae,woody,na,spring,dry,partial shade
157,Peachleaf Bellflower,Campanula persicifolia L.,Campanulaceae,woody,na,fall,dry,full sun
158,Wright's Golden Saxifrage,Chrysosplenium wrightii Franch. & Savigny,Saxifragaceae,herbaceous,annual,summer,wet,full sun
159,Apple Of Peru,Nicandra physalodes (L.) Scop.,Solanaceae,herbaceous,biannual,fall,moderate,full sun
160,Cutleaf Blazingstar,Mentzelia laciniata (Rydb.) J. Darl.,Loasaceae,woody,na,summer,wet,full sun
161,Foxtail Flatsedge,Cyperus alopecuroides Rottb.,Cyperaceae,woody,na,summer,moderate,full shade
162,Carveseed,Glyptopleura marginata D.C. Eaton,Asteraceae,herbaceous,annual,spring,moderate,full sun
163,Persistentflower Phacelia,Phacelia marcescens Eastw. ex J.F. Macbr.,Hydrophyllaceae,woody,na,fall,wet,partial shade
164,Stiff Sedge,Carex biltmoreana Mack.,Cyperaceae,woody,na,fall,moderate,partial shade
165,Mexican Star,Milla biflora Cav.,Liliaceae,woody,na,fall,dry,partial shade
166,Long Valley Tumblemustard,Thelypodiopsis ambigua (S. Watson) Al-Shehbaz var. ambigua,Brassicaceae,herbaceous,annual,fall,dry,full shade
167,James' Galleta,Pleuraphis jamesii Torr.,Poaceae,herbaceous,annual,spring,dry,partial shade
168,Colorado Four O'clock,Mirabilis multiflora (Torr.) A. Gray var. multiflora,Nyctaginaceae,woody,na,summer,dry,partial shade
169,Spreading False Pimpernel,Lindernia diffusa (L.) Wettst.,Scrophulariaceae,herbaceous,annual,summer,wet,full shade
170,Grass Fern,Vittaria graminifolia Kaulf.,Vittariaceae,woody,na,summer,dry,partial shade
171,Sweet Bay,Laurus nobilis L.,Lauraceae,woody,na,fall,dry,full sun
172,Quailbush,Atriplex lentiformis (Torr.) S. Watson ssp. breweri (S. Watson) H.M. Hall & Clem.,Chenopodiaceae,herbaceous,annual,fall,moderate,full sun
173,False Waterwillow,Andrographis echioides (L.) Nees,Acanthaceae,herbaceous,biannual,spring,dry,partial shade
174,Church's Wildrye,Elymus churchii J.J.N. Campb.,Poaceae,woody,na,spring,wet,partial shade
175,Threadleaf Beardtongue,Penstemon filiformis (D.D. Keck) D.D. Keck,Scrophulariaceae,herbaceous,biannual,fall,moderate,partial shade
176,Red Lupine,Lupinus ruber A. Heller,Fabaceae,herbaceous,biannual,spring,wet,partial shade
177,Surinam Bulletwood,Manilkara bidentata (A. DC.) A. Chev ssp. surinamensis (Miq.) T.D. Penn.,Sapotaceae,woody,na,fall,wet,partial shade
178,Duss' Tonguefern,Elaphoglossum petiolatum (Sw.) Urb. var. dussii (Underw. ex Maxon) Proctor,Dryopteridaceae,woody,na,spring,dry,partial shade
179,Groundplum Milkvetch,Astragalus crassicarpus Nutt. var. crassicarpus,Fabaceae,herbaceous,biannual,fall,dry,full sun
180,Adequate Spike Lichen,Calicium adequatum Nyl.,Caliciaceae,herbaceous,annual,summer,moderate,full shade
181,Common Dandelion,Taraxacum officinale F.H. Wigg.,Asteraceae,herbaceous,biannual,summer,moderate,full shade
182,Newcombe's Butterweed,Sinosenecio newcombei (Greene) J.P. Janovec & T.M. Barkley,Asteraceae,woody,na,summer,moderate,full shade
183,Hooker's Townsend Daisy,Townsendia hookeri Beaman,Asteraceae,herbaceous,annual,fall,dry,full sun
184,Basindaisy,Platyschkuhria integrifolia (A. Gray) Rydb. var. integrifolia,Asteraceae,herbaceous,biannual,summer,moderate,full sun
185,Giant Sedge,Carex gigantea Rudge,Cyperaceae,herbaceous,perennial,spring,wet,full shade
186,Xanthoparmelia Lichen,Xanthoparmelia stenophylloides (Müll. Arg.) Hale,Parmeliaceae,woody,na,spring,moderate,full sun
187,Sierra False Bindweed,Calystegia malacophylla (Greene) Munz ssp. pedicellata (Jeps.) Munz,Convolvulaceae,woody,na,summer,moderate,full shade
188,Whitewoolly Buckwheat,Eriogonum ochrocephalum S. Watson,Polygonaceae,woody,na,summer,dry,partial shade
189,Alkali Pepperweed,Lepidium dictyotum A. Gray var. dictyotum,Brassicaceae,woody,na,spring,dry,full shade
190,Wild Bergamot,Monarda fistulosa L. ssp. fistulosa var. rubra A. Gray,Lamiaceae,herbaceous,perennial,spring,dry,full sun
191,Olympic Dichodontium Moss,Dichodontium olympicum Renauld & Cardot,Dicranaceae,herbaceous,biannual,fall,wet,partial shade
192,Fleshy Lupine,Lupinus affinis J. Agardh,Fabaceae,herbaceous,biannual,fall,moderate,full sun
193,Combseed,Pectocarya DC. ex Meisn.,Boraginaceae,herbaceous,biannual,fall,wet,full shade
194,Northern Birch,Betula ×neoborealis Lepage,Betulaceae,woody,na,spring,moderate,full shade
195,Puffcalyx Gilia,Gilia aliquanta A.D. Grant & V.E. Grant ssp. breviloba A.D. Grant & V.E. Grant,Polemoniaceae,woody,na,fall,dry,full sun
196,Bouquet Aster,Eurybia mirabilis (Torr. & A. Gray) G.L. Nesom,Asteraceae,woody,na,spring,wet,full shade
197,Cima Milkvetch,Astragalus cimae M.E. Jones var. sufflatus Barneby,Fabaceae,herbaceous,biannual,fall,wet,full shade
198,Brome-like Sedge,Carex bromoides Schkuhr ex Willd. ssp. montana Naczi,Cyperaceae,herbaceous,biannual,spring,wet,partial shade
199,Grayleaf Willow,Salix glauca L. ssp. glauca var. acutifolia (Hook.) C.K. Schneid.,Salicaceae,woody,na,summer,wet,partial shade
200,Island Mistletoe,Phoradendron barahonae Urb. & Trel.,Viscaceae,herbaceous,biannual,summer,dry,full shade
201,Plateau Milkvetch,Astragalus serpens M.E. Jones,Fabaceae,herbaceous,annual,spring,wet,partial shade
202,Ringstem,Anulocaulis Standl.,Nyctaginaceae,herbaceous,perennial,spring,moderate,partial shade
203,Thinfruit Labordia,Labordia sessilis A. Gray,Loganiaceae,woody,na,summer,wet,partial shade
204,Eucalyptus,Eucalyptus fruticetorum F. Muell.,Myrtaceae,herbaceous,annual,fall,dry,partial shade
205,Paleyellow Ragwort,Senecio integerrimus Nutt. var. ochroleucus (A. Gray) Cronquist,Asteraceae,herbaceous,perennial,spring,dry,full sun
206,Limewater Brookweed,Samolus ebracteatus Kunth ssp. alyssoides (A. Heller) R. Knuth,Primulaceae,herbaceous,annual,summer,dry,partial shade
207,Dixie Stitchwort,Minuartia muscorum (Fassett) Rabeler,Caryophyllaceae,woody,na,spring,moderate,full sun
208,Map Lichen,Rhizocarpon subgeminatum Eitner,Rhizocarpaceae,woody,na,summer,moderate,full sun
209,Mexican Grass,Ixophorus unisetus (J. Presl) Schltdl.,Poaceae,herbaceous,perennial,summer,wet,full sun
210,Prickly Russian Thistle,Salsola tragus L.,Chenopodiaceae,woody,na,summer,wet,partial shade
211,Inyo Bedstraw,Galium hypotrichium A. Gray ssp. inyoense Dempster & Ehrend.,Rubiaceae,herbaceous,biannual,fall,moderate,full sun
212,Modoc Hawksbeard,Crepis modocensis Greene ssp. modocensis,Asteraceae,woody,na,summer,dry,full sun
213,Earleaf Brickellbush,Brickellia amplexicaulis B.L. Rob.,Asteraceae,herbaceous,perennial,fall,dry,full sun
214,Garcinia,Garcinia xanthochymus Hook. f. ex T. Anderson,Clusiaceae,woody,na,fall,moderate,full sun
215,Sibbaldiopsis,Sibbaldiopsis Rydb.,Rosaceae,woody,na,fall,wet,partial shade
216,Brachythecium Moss,Brachythecium biventrosum (Müll. Hal.) A. Jaeger,Brachytheciaceae,herbaceous,perennial,spring,moderate,full sun
217,Hybrid Oak,Quercus ×palaeolithicola Trel.,Fagaceae,herbaceous,perennial,fall,moderate,full shade
218,False Pimpernel,Lindernia All.,Scrophulariaceae,herbaceous,biannual,fall,dry,partial shade
219,Ashby's Banksia,Banksia ashbyi Baker f.,Proteaceae,woody,na,fall,dry,full sun
220,Oriental Mangrove,Bruguiera sexangula (Lour.) Poir.,Rhizophoraceae,herbaceous,annual,summer,dry,full sun
221,Brazilian Joyweed,Alternanthera brasiliana (L.) Kuntze,Amaranthaceae,woody,na,summer,dry,full shade
222,Littlewoman,Salvia serotina L.,Lamiaceae,woody,na,summer,moderate,full sun
223,Ceratodon Moss,Ceratodon purpureus (Hedw.) Brid. var. purpureus,Ditrichaceae,woody,na,spring,moderate,full sun
224,Gadsden Hawthorn,Crataegus rigens Beadle,Rosaceae,woody,na,spring,wet,full shade
225,Obtuse Tortula Moss,Tortula obtusissima (Müll. Hal.) Mitt.,Pottiaceae,herbaceous,perennial,fall,dry,full sun
226,Mojave Milkvetch,Astragalus mohavensis S. Watson var. hemigyrus (Clokey) Barneby,Fabaceae,woody,na,spring,dry,full sun
227,Lava Hau Kuahiwi,Hibiscadelphus crucibracteatus Hobdy,Malvaceae,woody,na,spring,wet,partial shade
228,Elegant Sweetclover,Melilotus elegans Salzmann,Fabaceae,woody,na,spring,moderate,partial shade
229,Roundtooth Snakelily,Dichelostemma multiflorum (Benth.) A. Heller,Liliaceae,herbaceous,biannual,spring,moderate,full shade
230,Husk Tomato,Physalis pubescens L. var. pubescens,Solanaceae,woody,na,spring,wet,partial shade
231,Summit Labordia,Labordia fagraeoidea Gaudich.,Loganiaceae,herbaceous,perennial,fall,moderate,partial shade
232,Eastern Purple Coneflower,Echinacea purpurea (L.) Moench,Asteraceae,herbaceous,biannual,fall,moderate,full shade
233,Nineleaf Biscuitroot,Lomatium triternatum (Pursh) J.M. Coult. & Rose var. macrocarpum (J.M. Coult. & Rose) Mathias,Apiaceae,woody,na,fall,dry,full shade
